Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
-0.20628984845840995,0.25714346833983526,0.03615534852130652,0.4045764922468946,0.2780286455924691,3.21973,-0.0361308165747405,Down
-0.0361308165747405,-0.20628984845840995,0.25714346833983526,0.03615534852130652,0.4045764922468946,3.64056,0.2962166276051728,Up
0.2962166276051728,-0.0361308165747405,-0.20628984845840995,0.25714346833983526,0.03615534852130652,3.62508,-0.03081937727228409,Down
-0.03081937727228409,0.2962166276051728,-0.0361308165747405,-0.20628984845840995,0.25714346833983526,3.46622,0.08359523535088031,Up
0.08359523535088031,-0.03081937727228409,0.2962166276051728,-0.0361308165747405,-0.20628984845840995,3.09068,-0.055086951848516905,Down
-0.055086951848516905,0.08359523535088031,-0.03081937727228409,0.2962166276051728,-0.0361308165747405,3.58695,0.1211912940667372,Up
0.1211912940667372,-0.055086951848516905,0.08359523535088031,-0.03081937727228409,0.2962166276051728,3.31767,-0.36136983539769485,Down
-0.36136983539769485,0.1211912940667372,-0.055086951848516905,0.08359523535088031,-0.03081937727228409,3.16839,0.05947671674756791,Up
0.05947671674756791,-0.36136983539769485,0.1211912940667372,-0.055086951848516905,0.08359523535088031,3.53685,-0.11377109294854991,Down
-0.11377109294854991,0.05947671674756791,-0.36136983539769485,0.1211912940667372,-0.055086951848516905,3.15524,0.5375146029232113,Up
0.5375146029232113,-0.11377109294854991,0.05947671674756791,-0.36136983539769485,0.1211912940667372,3.81695,0.4146235215864064,Up
0.4146235215864064,0.5375146029232113,-0.11377109294854991,0.05947671674756791,-0.36136983539769485,3.84934,-0.08483101983730967,Down
-0.08483101983730967,0.4146235215864064,0.5375146029232113,-0.11377109294854991,0.05947671674756791,3.61151,-0.18834451584648945,Down
-0.18834451584648945,-0.08483101983730967,0.4146235215864064,0.5375146029232113,-0.11377109294854991,3.13742,-0.2235382784871934,Down
-0.2235382784871934,-0.18834451584648945,-0.08483101983730967,0.4146235215864064,0.5375146029232113,3.59504,0.21328297968325555,Up
0.21328297968325555,-0.2235382784871934,-0.18834451584648945,-0.08483101983730967,0.4146235215864064,4.08973,-0.2642660682902402,Down
-0.2642660682902402,0.21328297968325555,-0.2235382784871934,-0.18834451584648945,-0.08483101983730967,3.91919,0.18272827469121175,Up
0.18272827469121175,-0.2642660682902402,0.21328297968325555,-0.2235382784871934,-0.18834451584648945,3.80976,0.38801518264620977,Up
0.38801518264620977,0.18272827469121175,-0.2642660682902402,0.21328297968325555,-0.2235382784871934,3.60597,-0.07496777556190981,Down
-0.07496777556190981,0.38801518264620977,0.18272827469121175,-0.2642660682902402,0.21328297968325555,3.11239,-0.1215242552970666,Down
-0.1215242552970666,-0.07496777556190981,0.38801518264620977,0.18272827469121175,-0.2642660682902402,3.45246,0.2236191800871764,Up
0.2236191800871764,-0.1215242552970666,-0.07496777556190981,0.38801518264620977,0.18272827469121175,3.61195,0.4863572191885797,Up
0.4863572191885797,0.2236191800871764,-0.1215242552970666,-0.07496777556190981,0.38801518264620977,3.6816,0.16564147321239087,Up
0.16564147321239087,0.4863572191885797,0.2236191800871764,-0.1215242552970666,-0.07496777556190981,3.4966,0.28125826453124764,Up
0.28125826453124764,0.16564147321239087,0.4863572191885797,0.2236191800871764,-0.1215242552970666,3.35237,0.4926641944594065,Up
0.4926641944594065,0.28125826453124764,0.16564147321239087,0.4863572191885797,0.2236191800871764,3.52804,0.5852902241730967,Up
0.5852902241730967,0.4926641944594065,0.28125826453124764,0.16564147321239087,0.4863572191885797,3.78587,-0.10299118101645603,Down
-0.10299118101645603,0.5852902241730967,0.4926641944594065,0.28125826453124764,0.16564147321239087,3.6759,0.34783898958098125,Up
0.34783898958098125,-0.10299118101645603,0.5852902241730967,0.4926641944594065,0.28125826453124764,3.51683,0.4446017509751225,Up
0.4446017509751225,0.34783898958098125,-0.10299118101645603,0.5852902241730967,0.4926641944594065,3.58752,0.07242190578596638,Up
0.07242190578596638,0.4446017509751225,0.34783898958098125,-0.10299118101645603,0.5852902241730967,3.47317,-0.15585813753959873,Down
-0.15585813753959873,0.07242190578596638,0.4446017509751225,0.34783898958098125,-0.10299118101645603,4.02177,0.49284542448132307,Up
0.49284542448132307,-0.15585813753959873,0.07242190578596638,0.4446017509751225,0.34783898958098125,3.83241,0.19110274977802394,Up
0.19110274977802394,0.49284542448132307,-0.15585813753959873,0.07242190578596638,0.4446017509751225,3.58468,-0.10313199326747743,Down
-0.10313199326747743,0.19110274977802394,0.49284542448132307,-0.15585813753959873,0.07242190578596638,4.21246,0.6650930371200692,Up
0.6650930371200692,-0.10313199326747743,0.19110274977802394,0.49284542448132307,-0.15585813753959873,4.34763,-0.5357585603925253,Down
-0.5357585603925253,0.6650930371200692,-0.10313199326747743,0.19110274977802394,0.49284542448132307,3.82403,0.09240946292588129,Up
0.09240946292588129,-0.5357585603925253,0.6650930371200692,-0.10313199326747743,0.19110274977802394,3.55667,0.003371384062110762,Up
0.003371384062110762,0.09240946292588129,-0.5357585603925253,0.6650930371200692,-0.10313199326747743,3.2518,-0.09912928730820735,Down
-0.09912928730820735,0.003371384062110762,0.09240946292588129,-0.5357585603925253,0.6650930371200692,3.5263,-0.2882120489037413,Down
-0.2882120489037413,-0.09912928730820735,0.003371384062110762,0.09240946292588129,-0.5357585603925253,3.81408,0.058393602631172555,Up
0.058393602631172555,-0.2882120489037413,-0.09912928730820735,0.003371384062110762,0.09240946292588129,3.71845,0.0033752349544271254,Up
